试剂耗材统计表,,,,,,,,,,,,,,,,,,,,,,,,,,,
L-异亮氨酸,上海安谱,200mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
过氧化氢测试盒,南京建成,48样/盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
免染page胶(10％),清河生命,盒,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
肉毒素检测试剂盒,碧云天,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
CAT可见光试剂盒,南京建成,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
BCA蛋白浓度试剂盒,索莱宝,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
总蛋白定量试剂盒,南京建成,盒,,,,北202冰箱冷冻,3,,,,,,,,,,,,,,,,,,,,
过氧化氢含量检测试剂盒,索莱宝,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
糖原PAS染色液,LEAGENE,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
SOD试剂盒,南京建成,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
猪胃粘膜胃蛋白酶,sigma,100g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
猪胰脂肪酶,sigma,25g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
大豆胰蛋白酶-胰凝乳蛋白酶抑制剂,sigma,10mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
三氟化硼-甲醇溶液,麦克林,100ml,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
异硫氰酸苯酯,RHAWN/麦克林,25ml,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
木瓜蛋白酶,索莱宝,100g,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
三氟乙酸,麦克林,500g,,,,北202冰箱冷冻,3,,,,,,,,,,,,,,,,,,,,
磷酸二氢钠,麦克林,500g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
胞苷酸,上海源叶,20mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
肌苷酸二钠(IMP）,sigma,1g,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
HXR,sigma,1g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
次黄嘌呤,sigma,1g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
黄苷酸,上海源叶,20mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
腺苷酸,上海源叶,20mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
肌苷5-单磷酸盐水合物,sigma,,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
肌苷,上海安谱,10mg,2018年9月11日,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
肌苷5-单磷酸,sigma,,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
肌苷,sigma,1g,2019/6/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
ADP,sigma,250mg,2019/6/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
ATP,sigma,1g,2019/6/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
ADP盐,sigma,250mg,2019/6/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
次黄嘌呤,sigma,1g,2019/6/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
胆固醇标品,中国计量科学研究院,,,,,北202冰箱冷冻,3,,,,,,,,,,,,,,,,,,,,
次黄嘌呤,安谱,20mg,2018/12/29,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
UMP,sigma,500mg,2019/6/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
GMP,sigma,500mg,2019/9/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
CMP,sigma,500mg,2019/6/1,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
1，1，3，3-四乙氧基丙烷,麦克林,25ml,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
二甲基三庚酮,坛墨质检,250mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
蛋白羟基试剂盒,南京建成,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
水溶性维生素E,索莱宝,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
维生素B1,sigma,1g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
二十三烷酸甘油三酯,安谱,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
十三烷酸甘油三酯,安谱,100mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
3羟基酪氨酸,NJJCBIO,盒,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
蛋氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
亮氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
丙氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
脯氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
苯甲氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
赖氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
丝氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
酪氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
缬氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
苏氨酸,安谱,200mg,,,,北202冰箱冷冻,2,,,,,,,,,,,,,,,,,,,,
反式羟铺氨酸,安谱,20mg,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
苯酚,INNOCHEM,500g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
高峰α淀粉酶,索莱宝,250g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
硫酸亚铁,麦克林,500g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
乙酸铵,麦克林,500g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
盐酸硫铵,麦克林,100g,,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
AKP试剂盒,南京建成,,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
ATP酶试剂盒,南京建成,,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
LD乳酸试剂盒,南京建成,,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
5`NT试剂盒,南京建成,,,,,北202冰箱冷藏,4,,,,,,,,,,,,,,,,,,,,
二氯甲烷,麦克林,4L,,,,北202冰箱冷藏,,,,,,,,,,,,,,,,,,,,,
钠元素,中国计量科学研究院,80ml(1mg/ml）,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
钙元素,中国计量科学研究院,,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
镁元素,中国计量科学研究院,,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
钼元素,中国计量科学研究院,,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
钾元素,中国计量科学研究院,,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
维生素E试剂盒,南京建成,,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
LOWRY蛋白浓度测定试剂盒,索莱宝,,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
考马斯亮蓝快速染色液,索莱宝,,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
D-核糖,麦克林,100g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
丙酮醛,麦克林,50g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
α淀粉酶,麦克林,100g,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
邻苯二胺,麦克林,100g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
木瓜蛋白酶,麦克林,25g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
二己烯三胺五己酸,麦克林,100g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
氨基酸标品,,5ml,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
GC-IMS标品,海能,10ml,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
电子鼻标品,RESTEK,1ml,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
二硫苏糖醇,索莱宝,5g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
4氯35二羟基三氟甲苯,TCI,10g,,,,北202冰箱冷藏,3,,,,,,,,,,,,,,,,,,,,
异硫氰酸苯酯,麦克林,25ml,,,,北202冰箱冷藏,2,,,,,,,,,,,,,,,,,,,,
两性电解液,上海源叶,12ml,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
聚丙烯酸,阿拉丁,25g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
L-磺基丙氨酸,TCI,1g,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
N-甲基N-3甲基硅烷三氟乙酰胺,上海源叶,25ml,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
没食子酸,上海源叶,200mg,,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
细胞色素C（分子量12500）,上海源叶,S12060-100mg,2025年4月,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
抑肽酶（分子量6500）,上海源叶,S10089-250mg,2025年4月,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
抑菌肽（分子量1450）,上海源叶,B65740-50mg,2025年4月,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
乙氨酸-乙氨酸-酪氨酸-精氨酸（分子量451）,上海源叶,S25047-100mg,2025年4月,,,北202冰箱冷冻,1,,,,,,,,,,,,,,,,,,,,
乙氨酸-乙氨酸-乙氨酸（分子量189）,上海源叶,S31648-100mg,2025年4月,,,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
Proclin 200,sigma,50mL,2025年5月,,804,北202冰箱冷藏,1,,,,,,,,,,,,,,,,,,,,
抽纸,维达,24包/箱,,,,仓库,3,,,,,,,,,,,,,,,,,,,,
卷纸,维达,27卷/箱,,,,仓库,4,,,,,,,,,,,,,,,,,,,,
MCL BUFFER PH-KIT,三菱化学,盒,,,,仓库,4,,,,,,,,,,,,,,,,,,,,
ninhydrin colorning solution kit for hitachi,wako,2L/瓶,,,,仓库,4,,,,,,,,,,,,,,,,,,,,
1.5ml无菌无酶离心管,,盒,,,,仓库,5,,,,,,,,,,,,,,,,,,,,
1ml注射器,,盒,,,,仓库,5,,,,,,,,,,,,,,,,,,,,
手套大中小,,箱,,,,仓库,6,,,,,,,,,,,,,,,,,,,,
无尘擦拭纸,,箱,,,,仓库,1,,,,,,,,,,,,,,,,,,,,
旋蒸瓶500mL（24/40）,蜀牛,500mL,2025年5月,,,北206玻璃容器柜,2,,,,,,,,,,,,,,,,,,,,
旋蒸瓶1000mL（24/40）,蜀牛,1000mL,2025年5月,,,北206玻璃容器柜,2,,,,,,,,,,,,,,,,,,,,
磁力搅拌转子（圆柱）,,4cm,2025年5月,,,北205柜子,6,,,,,,,,,,,,,,,,,,,,
磁力搅拌转子（圆柱）,,5cm,2025年5月,,,北205柜子,6,,,,,,,,,,,,,,,,,,,,
剪刀,,把,2025年5月,,,北205柜子,2,,,,,,,,,,,,,,,,,,,,
Sephadex G-15,思拓凡（Cytiva）,100mg,2025年4月,,,北205试剂柜,2,,,,,,,,,,,,,,,,,,,,
xk16/100层析柱,瑞达恒辉,个,2025年4月,,,北205,1,,,,,,,,,,,,,,,,,,,,
配套装柱器,瑞达恒辉,个,2025年4月,,,北205,1,,,,,,,,,,,,,,,,,,,,
无水乙醇（食品级）,YC-5L,5L,2025年4月,,,北205,2,,,,,,,,,,,,,,,,,,,,
氢氧化钠（烘培碱）,QYHN-1kg,食品级1kg,2025年4月,,,北207,1,,,,,,,,,,,,,,,,,,,,
L-异亮氨酸,YLAS-1kg,食品级1kg,2025年4月,,,北207,1,,,,,,,,,,,,,,,,,,,,
柠檬酸,NMS-1kg,食品级1kg,2025年4月,,,北207,1,,,,,,,,,,,,,,,,,,,,
蔗糖,ZT-500g,食品级500g,2025年4月,,,北207,2,,,,,,,,,,,,,,,,,,,,
单宁,SN-1kg,食品级1kg,2025年4月,,,北207,1,,,,,,,,,,,,,,,,,,,,
味精,WJ-1kg,食品级1kg,2025年4月,,,北207,1,,,,,,,,,,,,,,,,,,,,
氯化钠,LHN-1kg,食品级1kg,2025年4月,,,北207,1,,,,,,,,,,,,,,,,,,,,
多功能料理机（绞肉机）,小熊,3L,2025年4月,,,北207,1,,,,,,,,,,,,,,,,,,,,
棕色进样小瓶,,1箱,2025年4月,,,北206桌子下,50盒,,,,,,,,,,,,,,,,,,,,
布氏抽滤装置,国产,2.5L,2025年4月,,270,北205,1支,,,,,,,,,,,,,,,,,,,,
1-Hexanol,麦克林,H810867-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"1-Hexanol,2-ethyl-",麦克林,E808631-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
1-Dec,麦克林,O815143-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
1-Octen-3-ol,麦克林,O815142-10ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
1-Pentanol,麦克林,P815990-25ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2,4-Decadienal,(E,E)-",麦克林,D807114-1ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
2-Acetylthiazole,麦克林,A801753-5g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2-Decenal,(E)-",麦克林,D807897-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2-Nonenal,(E)-",麦克林,N838726-1ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2-Octenal,(E)-",麦克林,E815165-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2-Propanone,1-hydroxy-",麦克林,H811209-25g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
5-Methyl-2-thiophenecarboxaldehyde,麦克林,M829863-5g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Acetoin,麦克林,A800759-25g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Benzaldehyde,麦克林,B802740-100ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"Ethanone,1-(1H-pyrrol-2-yl)-",麦克林,A801129-5g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"Furan,2-pentyl-",麦克林,P815561-2g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Hexanal,麦克林,C805039-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Hexanoicacid,麦克林,H810882-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Isophorone,麦克林,I823281-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Nonanal,麦克林,N814805-25ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Nonanoicacid,麦克林,N814792-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"Pyrazine,2,6-dimethyl-",麦克林,D822846-5g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"Pyrazine,methyl-",麦克林,M822845-5g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"4H-Pyran-4-one,2,3-dihydro-3,5-dihydroxy-6-methyl-",麦克林,D924269-5mg,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Pyridine,麦克林,P816292-500ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
Octanal,麦克林,O815174-25ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
1-Heptanol,麦克林,H811071-100ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2-Octen-1-ol,(E)-",麦克林,O864062-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2,5-DIMETHYLPYRAZINE",麦克林,D806965-5ml,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2-ETHYL-3,5-DIMETHYLPYRAZINE",麦克林,E808763-5g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"2,3,5-Trimethylpyrazine",麦克林,T819073-10g,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
2-ETHYL-6-METHYLPYRAZINE,麦克林,E922950-10mg,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
"3-Ethyl-2,5-dimethylpyrazine",麦克林,E923756-50mg,2025年4月,,,北202,1瓶,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
